City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Champerico,GT,14.3,-91.9167,86.77,59,10,12.12,clear sky
175,Turukhansk,RU,65.8167,87.9833,-2.61,100,21,3.11,few clouds
176,Santa Comba,ES,43.0331,-8.8093,51.78,53,33,10.83,scattered clouds
177,Carnarvon,AU,-24.8667,113.6333,77.4,78,4,8.59,clear sky
178,Kibondo,TZ,-3.5864,30.7203,66.96,81,91,2.77,overcast clouds
179,Camargo,MX,27.6667,-105.1667,76.87,11,87,4.32,overcast clouds
180,Do Gonbadan,IR,30.3586,50.7981,76.17,18,13,3.85,few clouds
181,Kesova Gora,RU,57.5836,37.2922,21.43,86,96,7.63,overcast clouds
182,Touros,BR,-5.1989,-35.4608,83.05,74,97,14.29,light rain
183,Norman Wells,CA,65.282,-126.8329,-2.92,94,100,2.3,overcast clouds
184,Lebu,CL,-37.6167,-73.65,56.5,61,6,12.39,clear sky
185,Hervey Bay,AU,-25.2986,152.8535,69.03,90,4,7.0,clear sky
186,Dunedin,NZ,-45.8742,170.5036,56.8,75,53,3.0,broken clouds
187,Krasnaya Gorbatka,RU,55.8703,41.7641,30.96,96,100,7.11,light snow
188,Suwalki,PL,54.1118,22.9309,32.74,51,32,9.22,scattered clouds
189,Luanda,AO,-8.8368,13.2343,82.4,74,75,9.22,broken clouds
190,Yumen,CN,40.2833,97.2,47.21,22,3,14.05,clear sky
191,Mapiripan,CO,2.8892,-72.1256,84.76,66,98,6.22,overcast clouds
192,Sitka,US,57.0531,-135.33,40.89,81,100,29.93,light rain
193,Saint-Gaudens,FR,43.0833,0.6667,40.03,64,98,5.57,light rain
194,Annau,TM,37.8876,58.516,78.19,18,3,5.86,clear sky
195,Kemijarvi,FI,66.7131,27.4306,20.25,90,100,1.12,overcast clouds
196,Kiunga,PG,-6.1219,141.2906,72.72,95,91,1.57,overcast clouds
197,Te Anau,NZ,-45.4167,167.7167,46.58,81,61,0.63,broken clouds
198,Dali,CN,25.7,100.1833,50.7,81,50,3.42,scattered clouds
199,Fayetteville,US,35.0527,-78.8784,70.59,29,0,10.0,clear sky
200,Bengkulu,ID,-3.8004,102.2655,77.0,82,60,4.72,broken clouds
201,Krasnyy Yar,RU,46.5331,48.3456,67.96,43,93,7.61,overcast clouds
202,Kudahuvadhoo,MV,2.6708,72.8944,83.32,63,10,1.72,clear sky
203,Lozuvatka,UA,48.0571,33.2858,41.13,86,99,8.75,overcast clouds
204,Raga,SS,8.4596,25.678,87.58,41,93,8.95,overcast clouds
205,Lufilufi,WS,-13.8745,-171.5986,82.15,75,16,13.27,few clouds
206,Ancud,CL,-41.8697,-73.8203,51.22,61,68,10.18,broken clouds
207,Kahului,US,20.8947,-156.47,74.84,82,55,8.99,broken clouds
208,Puerto Ayora,EC,-0.7393,-90.3518,81.46,77,91,10.29,overcast clouds
209,Fukue,JP,32.6881,128.8419,55.02,58,0,18.1,clear sky
210,Hay River,CA,60.8156,-115.7999,19.38,58,40,12.66,scattered clouds
211,Aksu,CN,41.1231,80.2644,61.23,26,0,3.49,clear sky
212,Betioky,MG,-23.7167,44.3833,78.21,47,18,9.86,few clouds
213,Ambulu,ID,-8.345,113.6058,75.81,90,23,2.73,few clouds
214,Matagami,CA,49.7502,-77.6328,35.82,88,100,4.16,overcast clouds
215,Saint-Augustin,CA,51.226,-58.6502,35.91,100,100,17.02,overcast clouds
216,Maceio,BR,-9.6658,-35.7353,81.84,74,75,13.8,broken clouds
217,Hami,CN,42.8,93.45,55.8,24,12,9.75,few clouds
218,Saryozek,KZ,44.3583,77.9753,52.63,45,0,5.84,clear sky
219,Hobyo,SO,5.3505,48.5268,82.33,74,9,10.85,clear sky
220,Hastings,GB,50.8552,0.5729,49.39,49,87,10.83,overcast clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,77.5,52,3,3.0,clear sky
222,Wajid,SO,3.8093,43.2471,90.18,25,66,12.53,broken clouds
223,Morehead,US,37.2711,-87.1764,57.99,42,0,4.61,clear sky
224,Daru,PG,-9.0763,143.2092,78.57,83,80,8.1,broken clouds
225,Puerto Ayacucho,VE,5.6639,-67.6236,85.55,66,87,5.48,overcast clouds
226,Kroya,ID,-7.6331,109.2461,76.06,88,100,3.89,light rain
227,College,US,64.8569,-147.8028,12.29,75,100,2.98,overcast clouds
228,Hualmay,PE,-11.0964,-77.6139,74.25,72,31,9.28,scattered clouds
229,Marienburg,PL,54.0359,19.0266,40.87,55,93,3.36,overcast clouds
230,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,72,14,17.69,few clouds
231,Owensboro,US,37.7742,-87.1133,59.18,53,1,4.59,clear sky
232,Nuuk,GL,64.1835,-51.7216,36.21,87,20,13.0,few clouds
233,Chumikan,RU,54.7183,135.315,26.83,97,100,12.01,snow
234,Jumla,NP,29.2747,82.1838,48.16,44,2,4.43,clear sky
